,id,id_str,text,Emoji_Sentiment
552,1410381940461559820,1410381940461559820,"RT @sl33plyss: 🔴 LIVE NOW [playing: animal crossing]

🌴 island design, casual play
🎶 lofi, synthwave
👾 come chat or game along with me!

💫…",1.0
555,1410381774295871490,1410381774295871490,"Goodbye dark souls, hello again  animal crossing 😃",1.0
557,1410381547287556096,1410381547287556096,new animal crossing purchase 🥰🍑 https://t.co/zejogzcvNw,1.0
562,1410381126804385799,1410381126804385799,@skzpixy apparently it’s an animal crossing g character he was compared to 😭😭,0.0
566,1410380397104480259,1410380397104480259,@jishwoods i went from stardew to animal crossing 😭😂 but i haven’t played either in MONTHS,1.0
568,1410379964130680843,1410379964130680843,"Live now! 🔴 villager hunting and decorating in Animal Crossing! 🙌

https://t.co/LbH07irT0S",1.0
585,1410378246634475521,1410378246634475521,"RT @PlanetRainn: Filbert in the Animal Crossing Anime Movie style! ✨
______
#animalcrossing #acnh #animalcrossingnewhorizons #filbert #anim…",1.0
596,1410377037097934848,1410377037097934848,"🔴 LIVE NOW [playing: animal crossing]

🌴 island design, casual play
🎶 lofi, synthwave
👾 come chat or game along wit… https://t.co/5CJQrAYnXN",1.0
605,1410375874994610180,1410375874994610180,@urthendofjune me never finishing my animal crossing island because it was becoming too much work for everything to look cute😭,0.0
610,1410375558316371970,1410375558316371970,@TamashiiHiroka Wish Animal Crossing was actually cool enough to give us LGBTQIA+ furniture. My customs will have to do 😔,0.0
612,1410375374261809156,1410375374261809156,@tayayayMV Thanks! 💕Looking forward to playing him once I get a few other characters built 😄 Glad you like the icon… https://t.co/DPWBlVauKc,1.0
616,1410375082380206083,1410375082380206083,"Next week will be full of Sunday-Wednesday Streaming Fun 💛💛💛
Sun: Animal Crossing (10am PST)
Mon: Chess/Skyrim (4pm… https://t.co/XCRVy5S3gx",1.0
618,1410374902230757378,1410374902230757378,Animal crossing 😭 https://t.co/JeymqaC4gh,0.0
619,1410374757850230786,1410374757850230786,If only... It's 90 degrees now.😥 (Animal Crossing New Horizon) https://t.co/C2ttr6ZST4,0.0
625,1410373878011076614,1410373878011076614,@Iuvhwngs this duckie from animal crossing 😭😭 https://t.co/s7mTmnsio1,0.0
634,1410372897907032064,1410372897907032064,@userlovestay Animal crossing character😭,0.0
639,1410372498617778176,1410372498617778176,RT @TimmyDaBoss: I wish I was this good at Animal crossing 😩😩 https://t.co/gPeZDUPBMM,0.0
647,1410372240714182658,1410372240714182658,I wish I was this good at Animal crossing 😩😩 https://t.co/gPeZDUPBMM,0.0
658,1410371526587830276,1410371526587830276,@Midnightasaurus Animal crossing ? Let’s link islands 😫,0.0
666,1410371047598198785,1410371047598198785,@Dingo__Dingo I can do animal crossing style and watercolor illustrations ✨ https://t.co/7ijuUW7nve,1.0
675,1410370465755918339,1410370465755918339,RT @itsYustinaa: Animal Crossing stream tonight at 5pm pst / 8pm est. going to do some much needed decorating so come hang out!✨💜 https://t…,1.0
683,1410369356127772675,1410369356127772675,"#Loki #Mobius 
-
-
-
-
aw he’s playing animal crossing😋 https://t.co/j49zUSHuOi",1.0
695,1410368298609524740,1410368298609524740,"RT @tyleroakley: 🚨 THIS WEEK ON TWITCH... 🚨 

W 5pm - Stardew Valley
Th 2pm - Just Dance
F 2pm - Animal Crossing *VILLAGER HUNT*

👾 https:/…",1.0
699,1410367356350705671,1410367356350705671,"Live in 20 for some more Animal Crossing ❤️

Sub goal is a little higher today to see if we can hit 100 this month… https://t.co/FA0San39w4",1.0
701,1410367042121838599,1410367042121838599,"RT @nguyenhut_art: Animal Crossing fanart!! 😆
#b3d #fanart #AnimalCrossing https://t.co/thU8Yum5hY",1.0
716,1410364760701476866,1410364760701476866,"RT @TsunkatStudio: ✨Kicking off the start of our fan works, here's Kicks from Animal Crossing. Poster prints are coming soon, for those who…",1.0
720,1410364616920551427,1410364616920551427,RT @acnh_katherine: ✨animal crossing player who never plays in real-time because they’re always time traveling✨,1.0
733,1410363487096877058,1410363487096877058,@empanadatriste_ I would genuinely put the trans flag inspired couch with the clouds in my animal crossing house 😌,1.0
741,1410363051962880007,1410363051962880007,🍘 [Visiting/Touring YOUR Island] | Animal Crossing | Live Stream | EP 106 | https://t.co/sq98MqnwIu @YouTubeより,1.0
748,1410362554120015873,1410362554120015873,this particular shirt from the new animal crossing merch…😏 https://t.co/O6jkeS76tW,1.0
757,1410361598485667846,1410361598485667846,RT @IzzzyzzzArt: NEW VIDEO!!! ✨✨ A Deep Dive Into Animal Crossing!!!! 🐈🐄🐕🍃🌼 https://t.co/LvCP8WqlJn,1.0
763,1410360759394131968,1410360759394131968,Seriously wondering if I can go just one day without buying a new outfit on animal crossing 😂 https://t.co/eC5QRPIBQe,1.0
767,1410360492304920576,1410360492304920576,Listens to electronic animal crossing music 💀,0.0
771,1410359742577401865,1410359742577401865,"I’m back to playing Animal Crossing! I’m live right now and starting to get my island set up! Come hang out 😊

https://t.co/kDd4sB43rH",1.0
775,1410359495738417152,1410359495738417152,"I found my old New Nintendo 3ds and I could not stop playing Animal Crossing New Leaf, such a fun and relaxing game! 💕",1.0
776,1410359468177641481,1410359468177641481,"@withallstars omg this boyyyy!! he always looks so so good in your art, truly the work of a sunflower 😌 you always… https://t.co/rUZ9rVDfwY",1.0
777,1410359197137580032,1410359197137580032,Beeduo animal crossing stream. I beg 😩,0.0
782,1410358604209823754,1410358604209823754,🌟 TERRAFORMANDO ANIMAL CROSSING NEW HORIZONS #ACNH #NINTENDO #EMIGAMER https://t.co/1nFugwJaMV https://t.co/RqO6bFElRi,1.0
783,1410358599977668611,1410358599977668611,@pharaohcreator @thatgamecompany Or Animal Crossing 😂,1.0
791,1410357838535331846,1410357838535331846,"RT @Monke_Brush: Thanks for the 4k followers, here's a Bulma 💙
That’s all the time I’ve got. I got to get back to playing Animal Crossing N…",1.0
796,1410357262267437061,1410357262267437061,RT @badvibesbrooke: Can’t decide if I should play animal crossing or the sims 4 😭😭 help,0.0
800,1410356743876583429,1410356743876583429,Can’t decide if I should play animal crossing or the sims 4 😭😭 help,0.0
809,1410355789026398211,1410355789026398211,I need to be reminded that AC does not mean Animal Crossing to most people… 😅 https://t.co/vBX88mw5nE,0.0
812,1410355184039993346,1410355184039993346,@mss1v3gr0wth he’s playing animal crossing 🍃,1.0
815,1410354987411165189,1410354987411165189,Moving stream back 30 mins! See ya’ll at 7:30 PM EST for more Animal Crossing! We’re villager hunting and doing more island decorating! 💙,1.0
824,1410354419267358724,1410354419267358724,"🐈日本語/ENG🐈Morning APEX＃２６→Splat and Animal Crossing maybe~  https://t.co/kVcSwzl8J2 
#ApexLegends #splatoon2 #AnimalCrossing",1.0
834,1410353292971024392,1410353292971024392,"@coldstorage2009 👋 Hi  That Sounds Awesome , Animal Crossing Is Sooo Fun To Play. Me And My Twin Sister Loves It !!! 😊😁",1.0
841,1410352523827990529,1410352523827990529,Thinking about recreating 48g merch in animal crossing 🧍🏻‍♀️which ones should I do,1.0
843,1410352364855365644,1410352364855365644,👀👀👀 spoilers?! Ill have some fun stuff to show yall tomorrow’s Animal Crossing stream 🥳💃 I hope yall have a lovely… https://t.co/k40AC3XKE5,1.0
849,1410351714818039809,1410351714818039809,RT @witch_mote: Oh you like video games? Name five Animal Crossing characters other than Tom Nook and Isabelle. 😒 Oh you can’t? Go back to…,0.0
859,1410350595030933510,1410350595030933510,Found out non of my data saved on my old island on animal crossing. 😭😭😭😭 https://t.co/wcSMtOLedz,0.0
862,1410349811136663557,1410349811136663557,"RT @TheSwitchForce: It's that time of the month!!🎇🔥

Animal Crossing July Update 2021: https://t.co/J99cUXSkeu https://t.co/Ui7WuEeLHM",0.0
869,1410349298559168520,1410349298559168520,@NookTitstchi 😭😭😭 I love this. It’s like how when my bf comes in and I’m on Animal Crossing he asks me “Hows [Villa… https://t.co/O3OL4PWWXr,0.0
873,1410348530376396801,1410348530376396801,Booted up Animal Crossing GameCube for the first time in years and the nostalgia is overflowing. 😭,0.0
881,1410347620535615491,1410347620535615491,"welp we won’t have a working ac until tomorrow 
nope i’m not talking about animal crossing 😩😩😩😩",0.0
883,1410347170855747586,1410347170855747586,@fatarmyima Play animal crossing!! 💖,1.0
888,1410346894027636737,1410346894027636737,Wake me up when Animal Crossing New Horizons actually gets a big update. 😪,0.0
903,1410345676022730758,1410345676022730758,I have not posted a Animal Crossing screenshot for a while. So here is a sneak peak of my upstairs bedroom⭐️ https://t.co/7AzLPDdw19,1.0
908,1410344989595406340,1410344989595406340,ice on my vaccine site bf ❤️ distracting me with animal crossing and love island bf,1.0
915,1410344354762399745,1410344354762399745,✨animal crossing player who never plays in real-time because they’re always time traveling✨,1.0
918,1410344151686787075,1410344151686787075,"Stressful days call for a bit of cozy time on Animal Crossing 💛 

#AnimalCrossing #AnimalCrossingNewHorizons",1.0
932,1410342725124169728,1410342725124169728,Animal Crossing stream tonight at 5pm pst / 8pm est. going to do some much needed decorating so come hang out!✨💜… https://t.co/ct5tLHMM5L,1.0
954,1410340550662922251,1410340550662922251,RT @CancerSunOTD: ♋The Cancer of the day is Bluebear from the Animal Crossing franchise! Her birthday is June 24th! Happy birthday Bluebear…,1.0
955,1410340532212092931,1410340532212092931,RT @CancerSunOTD: ♋The second Cancer of the day is Sydney from the Animal Crossing franchise! Her birthday is June 21st!♋ https://t.co/WBVy…,1.0
957,1410340377782099983,1410340377782099983,RT @CancerSunOTD: ♋I forgot her yesterday so the second Cancer of the day is Merry from the Animal Crossing franchise! Her birthday is June…,1.0
979,1410338079185985538,1410338079185985538,I flippin found Marina on Animal Crossing and I’m so excited 😭🥲,0.0
984,1410337241906429965,1410337241906429965,sooooo i made the discord i wanted to make for animal crossing 😳😳 and i’ve been spending the past day going to a bu… https://t.co/vnBw1dhtdW,0.0
989,1410336712941654016,1410336712941654016,RT @TinaMickella: Live Now —&gt; ☁️ 18+ &amp; 420 Friendly ✨ | Animal Crossing Vibes today | !socials !discord  https://t.co/65xaOROrKV https://t.…,1.0
994,1410336157729136640,1410336157729136640,LIBERATE ANIMAL CROSSING 😂😭 https://t.co/514lSHZA9B,1.0
1000,1410335916313432072,1410335916313432072,RT @itsdianadaisies: animal crossing player who thinks 100 code design slots still aren’t enough ✌️😔✌️,1.0
1013,1410334408784105482,1410334408784105482,Wish nintendo would release the switch pro so I could finally hack my switch for animal crossing mods 😔,0.0
1065,1410329181423013900,1410329181423013900,RT @LemongirlLisa: Thanks for the fun stream! It was fun just chilling and playing some animal crossing 💖💖,1.0
1069,1410328483457384451,1410328483457384451,just got out of therapy now i will be zoning out at animal crossing for approximately 2 hours❤️,1.0
1070,1410328296387235841,1410328296387235841,@DOLLCARVER Deadass??? Lemme plug my switch into that and play animal crossing 👉👈,1.0
1072,1410328100169162753,1410328100169162753,"✨Kicking off the start of our fan works, here's Kicks from Animal Crossing. Poster prints are coming soon, for thos… https://t.co/jxiz5nRyT4",1.0
1086,1410327097869049865,1410327097869049865,"RT @ArtByBai: *sees fishing commercial*
I KNOW THAT FISH FROM ANIMAL CROSSING 🎣 https://t.co/U8UiiYopWU",0.0
1092,1410326690736263170,1410326690736263170,"*sees fishing commercial*
I KNOW THAT FISH FROM ANIMAL CROSSING 🎣 https://t.co/U8UiiYopWU",0.0
1105,1410325612758241284,1410325612758241284,Live Now —&gt; ☁️ 18+ &amp; 420 Friendly ✨ | Animal Crossing Vibes today | !socials !discord  https://t.co/65xaOROrKV https://t.co/Hqn8fgIvN0,1.0
1112,1410324875257040901,1410324875257040901,Thanks for the fun stream! It was fun just chilling and playing some animal crossing 💖💖,1.0
1114,1410324809138028563,1410324809138028563,RT @shishichuu: I still love this fan art I did a while back animal crossing x sailor moon ♥ enjoy ♥ https://t.co/7qMjeGOxMX,1.0
1123,1410324195100086272,1410324195100086272,"🚨 THIS WEEK ON TWITCH... 🚨 

W 5pm - Stardew Valley
Th 2pm - Just Dance
F 2pm - Animal Crossing *VILLAGER HUNT*

👾… https://t.co/IBHDNXPon3",1.0
1126,1410323815696064516,1410323815696064516,I restarted my animal crossing island and I'm genuinely so happy right now 😭,0.0
1139,1410322783012376579,1410322783012376579,u can call urself a gamer even if the only games u play are sims and animal crossing 😜😜😜😜 https://t.co/OhvMTzpYXU,1.0
1168,1410320688422981638,1410320688422981638,@sassyistrash hehe that's amazing !! we all love some animal crossing ☺️✨,1.0
1169,1410320652071018504,1410320652071018504,"i wanna go home to my rantooz, benchtrio vods, and animal crossing island 😥",0.0
1178,1410320165183496194,1410320165183496194,I haven’t played animal crossing in so long💀,0.0
1182,1410319678803779594,1410319678803779594,LRT UNIQLO MY FAVORITE T SHIRT BRAND DID AN ANIMAL CROSSING COLLAB?????? AAAHHHH I NEEEEED 😭💕💕💕,0.0
1193,1410318474858094601,1410318474858094601,"Gonna go on animal crossing then I’m gonna write some namkook! I’ll be around to chat😚
https://t.co/y2zuoOAAKN",1.0
1201,1410317662257811456,1410317662257811456,RT @ajtuana: Summery Animal Crossing Commission 🌱 ☀️ https://t.co/02AzvQ05rk,1.0
1212,1410316372031254536,1410316372031254536,"Nintendo Switch Lite UNBOXING + Animal Crossing New Horizons ♡ | Jazmine Tania
https://t.co/7ZAvmLjhIc",1.0
1214,1410316204573609986,1410316204573609986,"@ClearTogether Sounds like a good idea, im only into ow still bc i play other games too😭 It's nice to mix it up! I… https://t.co/FG73bZVEtp",0.0
1229,1410314163277033472,1410314163277033472,What if I actually turned on my switch and played animal crossing 🧍‍♂️,0.0
1233,1410313772976140288,1410313772976140288,@TheForgottenFa1 Yeah I’m going too! Back to COD or animal crossing 😄,1.0
1244,1410312904843444229,1410312904843444229,RT @lex_dragonACNH: I’m finally playing animal crossing again after a month of not having my switch 😍 I forgot how cute my island was 🙊…,1.0
1250,1410312367527899148,1410312367527899148,"K.K. Slider, Tom Nook, Isabelle, and I are playing Animal Crossing with the human!!! 🐸🐶🐶🦝🎮 https://t.co/AAHNrvRWgt",1.0
1264,1410311508693815299,1410311508693815299,Gonna get the animal crossing edition because pastels 👁👄👁,1.0
1267,1410311085282955265,1410311085282955265,"RT @DaniLoveYT: Sometimes I stream…
Today is one of those days 😅🙈
Come hang out &amp; find out how my non graceful self broke my toe last night…",1.0
1269,1410311005863874564,1410311005863874564,@cybunnyplushie check ur animal crossing mail and ull find ur answer❤️,1.0
1270,1410310862166974471,1410310862166974471,@DickSprints you got something against animal crossing 😒 i got the final fantasy remaster and i lowkey wanna get ro… https://t.co/NaRZTJgxDb,0.0
1271,1410310728414859266,1410310728414859266,"RT @BunnyAches: Short stack Ankah from Animal Crossing I’m working on- she’s a queen , you know? 👑 #Sketch #AnimalCrossing #Shortstack #Ank…",1.0
1276,1410310420573925377,1410310420573925377,Getting back into Animal Crossing (and hoping it’s not gone Camp Krusty in my absence😬) https://t.co/LHjA7cW4pU,0.0
1277,1410310415603716096,1410310415603716096,"@dianahorizons takes me wayyyy back dude 😩

I remember trawling the animal crossing community forum; trading and vi… https://t.co/UbuWBLmMvQ",0.0
1283,1410310060673220612,1410310060673220612,@twoheadedgrrl it’s in animal crossing when a villager is moving out 😭 in ur defense i dont think they actually say it in the game,0.0
1294,1410308955033718786,1410308955033718786,i might log back into animal crossing i havent even touched it since around new years 😭😭,0.0
1309,1410307871519109120,1410307871519109120,"@ZandarVTS lol there's not (i wish), but there's one on my animal crossing flag 😄",1.0
1318,1410306856241741824,1410306856241741824,I wanna get lost in some animal crossing woods 🍃 https://t.co/ripNBbowJK,1.0
1332,1410306078718496774,1410306078718496774,do people still play animal crossing? 😭 any army oomfs or non oomfs play??? https://t.co/qOofQ9AOK1,0.0
1354,1410304139846897665,1410304139846897665,"just bought an animal crossing themed gift box from etsy 👉👈 whenever it'll arrive, it'll be a pick me up gift for my future self,",1.0
1369,1410302595307130885,1410302595307130885,"Animal Crossing Pocket Camp ≥ (2021) EXPLOIT
https://t.co/kUhRm7dSc9

The (2020) exploit - CONTINUES! 

⇨ adapted t… https://t.co/i9KeJo19MA",1.0
1383,1410301470264672256,1410301470264672256,@BettyBob2point0 @peapod82 @acidlure Also yes a animal crossing player!😁😁😁,1.0
