,id,id_str,text,Emoji_Sentiment
609,1408839354869600258,1408839354869600258,"Link - Breath of the Wild 2 🍃
#botw2 #cosplay https://t.co/uKiJbqDDC7",1.0
625,1408801498813849600,1408801498813849600,"RT @CrocOclock: Amazon 🇺🇸 top 10 best sellers retail charts today:

1. Metroid Dread
2. Zelda Breath of the Wild 2
3. Mario Golf Super Rush…",1.0
630,1408772450536628225,1408772450536628225,"RT @NinSwitchIntel: E3 2021 Nintendo Direct Recap

🔸Kazuya joins Smash
🔸Life is Strange
🔸Super Monkey Ball: Banana Mania
🔸Mario Party Super…",1.0
631,1408772363383193602,1408772363383193602,I'm only on twitter for the Breath of the Wild 2 art 😌,1.0
637,1408741836244631557,1408741836244631557,Yahaha! Who's excited for the Breath of the Wild 2 game - raise your hand! 🙋 I think I've watched the newest traile… https://t.co/Rh2yvSuJ4h,1.0
642,1408721817414475780,1408721817414475780,Pretty sure starting Breath of the Wild at 2:30am is a bad idea but 🤷‍♀️ https://t.co/1H5fSwnyw8,1.0
687,1408573859486257153,1408573859486257153,"What games are you excited for the release of? 
For me, Elden Ring. Can't wait. 
Also Breath of the Wild 2. 😍😍😍😍",1.0
693,1408545417546117122,1408545417546117122,"RT @trashvlas: ✨Five games that made me the gamer I am today✨

⚔️ Legend of Zelda: Breath of the Wild
👽 Perfect Dark
🐱 Animal Crossing
🏎️ F…",1.0
694,1408544950933934097,1408544950933934097,"✨Five games that made me the gamer I am today✨

⚔️ Legend of Zelda: Breath of the Wild
👽 Perfect Dark
🐱 Animal Cros… https://t.co/ttsHvIizEA",1.0
723,1408501308991094791,1408501308991094791,"RT @MoonsquidInk: Breath of the wild travel journal entry 2! 💛💛

#breathofthewild #LegendOfZelda https://t.co/Y0sWGtEs1I",1.0
735,1408487664387604482,1408487664387604482,"RT @marlowedobbe: GUYS!!!!! I FIGURED OUT what the backwards audio in the Breath of the Wild 2 trailer is!
🔊SOUND ON🔊 This is gonna blow yo…",1.0
745,1408472830589771777,1408472830589771777,@Khalilluminati Breath of the wild 2 confirmed release this year 🤌🏾😂,1.0
746,1408472259908583429,1408472259908583429,RT @eldhug: I hope breath of the wild 2 gets here soon so I dont have to see genshin impact anymore ❤️,1.0
748,1408469894526648320,1408469894526648320,"RT @AidenRS139: Breath of the wild 2 looks like it might be one of the darkest Zelda games yet....

AND I'M ALL FOR IT!! 🙌 https://t.co/yQD…",1.0
750,1408465452146233345,1408465452146233345,I hope breath of the wild 2 gets here soon so I dont have to see genshin impact anymore ❤️,1.0
777,1408424098850607113,1408424098850607113,"😭
breath of the wild 2 https://t.co/nJeHalNFAH via @YouTube",0.0
802,1408329497204690945,1408329497204690945,@Andariya_ haha yes! hopefully it'll be ready in 2022 for Pokémon Legends: Arceus &amp; Breath Of The Wild 2 😍 somethin… https://t.co/IGD7ob2TyT,1.0
820,1408246577873911810,1408246577873911810,E3 2021: Nintendo shows off more Zelda Breath of the Wild 2 - BBC News https://t.co/NrErLQGA7A ☆… https://t.co/BppmFkhAa2,1.0
838,1408211133190836228,1408211133190836228,"@Calamarii3 Zelda breath of the wild, bomber man and 1 2 switch. Got it at midnight GameStop on release day 👍",1.0
856,1408185390876479496,1408185390876479496,"The Legend of Zelda: 
Breath of the Wild 2 
Nintendo Switch $59.99 
🔔 https://t.co/btB0pVRpGv 

(Box art coming soo… https://t.co/9h9jtBVU4r",1.0
861,1408179584609263616,1408179584609263616,"Ganon’s dead, ready for breath of the wild 2 😈",1.0
887,1408138035699589123,1408138035699589123,"Guys, images have leaked for breath of the wild 2 😰😱
#botw2
#zelda
#nintendo
@nintendoofamerica https://t.co/sOppH3NiJv",0.0
893,1408129816361156610,1408129816361156610,"RT @kyuhyjs: 🪐: Who's excited for Breath of the Wild 2?

🐺: me hahaha https://t.co/g6Hz3gHxLn",1.0
927,1408075412656242689,1408075412656242689,Not me spending some time in bed reading articles on Breath of the Wild 2 👀😅✌,1.0
928,1408074112531107842,1408074112531107842,"TERRA THE DARUK MALICE ▶ Original Creation (The Legend of Zelda Breath of the Wild 2)

https://t.co/R5jRk2NeVl",1.0
933,1408053679303938053,1408053679303938053,@NintendoFrance Zelda breath of the wild 2 meilleur annonce! ❤️❤️❤️👍 https://t.co/KVbCpIo0yl,1.0
940,1408025784556560384,1408025784556560384,"🪐: Who's excited for Breath of the Wild 2?

🐺: me hahaha https://t.co/g6Hz3gHxLn",1.0
945,1408021271573536772,1408021271573536772,I have to wait ANOTHER year for Breath of the Wild 2 to come out 😭 I’ve already been waiting 2 years💔,0.0
954,1407996898494095361,1407996898494095361,"thank you so much for tagging me! here are four games that turned me into a gamer 🎮

1. The Legend of Zelda: Breath… https://t.co/TCLPwR3tmd",1.0
982,1407886165051650051,1407886165051650051,RT @Daniel_Dobbs: Breath of the Wild 2 meets my guitar 🎸🥵 https://t.co/nsc0xvzl3s,1.0
1013,1407839125936513024,1407839125936513024,"RT @NinAppleBell: The Legend of Zelda: Breath of the Wild 2 Nintendo Switch $59.99 
🔔 https://t.co/btB0pW90y3 
(Box art coming soon) https:…",1.0
1041,1407799107385761792,1407799107385761792,sitting here in the car and just thought damn we aren’t getting breath of the wild 2 for another 10-20 months at least 😔,0.0
1045,1407792199979384842,1407792199979384842,When is the legend of Zelda breath of the wild 2 coming out? I wanna see my husband linky ☹︎,0.0
1061,1407765772642963458,1407765772642963458,"Games that made me the gamer I am:

🎮The Legend of Zelda Minish Cap
🎮Pokémon Esmeralda
🎮Los Sims 1&amp;2
🎮Castlevania P… https://t.co/5QhgtdxGq0",1.0
1067,1407760643177000965,1407760643177000965,RT @NintendoBlackC: The Breath of the Wild 2 E3 2021 trailer analysis will be 45 minutes long. Why do I do this to myself 😂,1.0
1074,1407750285578190853,1407750285578190853,The Breath of the Wild 2 E3 2021 trailer analysis will be 45 minutes long. Why do I do this to myself 😂,1.0
1091,1407726626234830854,1407726626234830854,"Games that made me the gamer I am:

🎮 Rayman 3 
🎮 Pokemon Perla 
🎮 Super Mario Galaxy 
🎮 Zelda Breath Of The Wild
🎮… https://t.co/0vzwx2wNa1",1.0
1100,1407712274639462400,1407712274639462400,"Games that made me the gamer I am:
🎮 TLoZ: Oracle of Seasons
🎮 Final Fantasy VII
🎮 Mario &amp; Luigi: Partners in Time… https://t.co/rzoZz15uqY",1.0
1101,1407711777366986752,1407711777366986752,"Games that made me the gamer I am:

🎮Zelda Breath Of the Wild
🎮Xenoblade Chronicles 2
🎮Pokémon HeartGold/SoulSilver… https://t.co/reHahNXJb9",1.0
1107,1407695353797922820,1407695353797922820,"@AleeOwnzz @PlayStationUK @Ridgy1337 I just wrote this list but then I realised it said last decade😂 
1. Ocarina of… https://t.co/aR4R9iaq8u",1.0
1109,1407687587041615872,1407687587041615872,"Games that made me the gamer I am:
🎮 Pokemon Esmeralda
🎮 Ratchet &amp; Clank 3
🎮 Animal Crossing Wild World
🎮 Mario Kar… https://t.co/Ygx1Sey7OB",1.0
1115,1407669520463011844,1407669520463011844,RT @_DanJapan: You ever sit and think about why Breath of the Wild 2 isn't out yet? 😤 https://t.co/MXty6cXQrT,0.0
